"1=Loop running this hour, 0=Off"	"Net hourly loop load, including thermal losses and pump heat"	"Net hourly loop load, including thermal losses and pump heat"	Outside dry-bulb temp (F)	Rain flag (1 - rainfall)
1	4153.27	-427733	35	0
1	4153.27	-426211	34	0
1	4153.27	-409846	34	0
1	4153.27	-455456	33	0
1	4153.27	-487849	33	0
1	4153.27	-535966	32	0
1	4153.27	-503340	32	0
1	4153.27	-540283	31	0
1	4153.27	-455590	31	0
1	4153.27	-434760	30	0
1	4153.27	-423570	29	0
1	4153.27	-416146	28	0
1	4153.27	-399311	29	0
1	4153.27	-216437	29	0
1	4153.27	-244116	30	0
1	4153.27	-263739	30	0
1	4153.27	-435536	31	0
1	4153.27	-430087	31	0
1	4153.27	-424091	32	0
1	4153.27	-376209	33	0
1	4153.27	-375670	34	0
1	4153.27	-391743	33	0
1	4153.27	-407426	33	0
1	4153.27	-420411	32	0
1	4153.27	-413170	33	0
1	4153.27	-415520	33	0
1	4153.27	-421557	34	0
1	4153.27	-414509	35	0
1	4153.27	-432301	35	0
1	4153.27	-246914	36	0
1	4164.78	-222649	36	0
1	4157.23	-511189	37	0
1	4546.31	-487413	37	0
1	4384.98	-470808	37	0
1	4550.87	-462021	37	0
1	4735.6	-358096	37	0
1	5303.2	-370381	35	0
1	6359.97	-470849	34	0
1	8260.5	-469521	32	0
1	11077.7	-451805	31	0
1	10463.1	-392240	31	0
1	7051.89	-333811	30	0
1	4849.88	-267512	31	0
1	4226.4	-325271	31	0
1	4153.27	-357773	32	0
1	4153.27	-402305	31	0
1	4153.27	-418613	29	0
1	4153.27	-419702	28	0
1	4153.27	-415933	27	0
1	4153.27	-400859	25	0
1	4153.27	-390865	24	0
1	4153.27	-433269	22	0
1	4153.27	-453350	20	0
1	4216.55	-274005	18	0
1	4174.94	-258140	17	0
1	6345.85	-555430	15	0
1	10467.2	-556701	14	0
1	14966.4	-532938	14	0
1	18090.4	-521958	13	0
1	18571.5	-410784	13	0
1	19263.1	-410894	13	0
1	21931.8	-513905	14	0
1	26578.9	-516633	14	0
1	29543.8	-521982	13	0
1	27284.1	-479620	12	0
1	17856.9	-430912	11	0
1	9992.75	-373517	10	0
1	5208.47	-549359	10	0
1	4153.27	-579685	9	0
1	4153.27	-639264	7	0
1	4153.27	-635320	6	0
1	4153.27	-644081	4	0
1	4153.27	-655355	4	0
1	4153.27	-702990	3	0
1	4153.27	-711151	3	0
1	4153.27	-699062	2	0
1	4153.27	-676496	2	0
1	4153.27	-380834	1	0
1	4166.13	-372682	1	0
1	14861.2	-681796	0	0
1	24679.1	-656779	0	0
1	29142.8	-609608	2	0
1	31515.7	-559835	5	0
1	31181.2	-447656	7	0
1	31340.6	-435838	8	0
1	34005.7	-512954	9	0
1	38439.3	-492090	10	0
1	41506.7	-490609	7	0
1	38440.6	-457068	5	0
1	27457.3	-410363	2	0
1	18191.1	-359105	1	0
1	7213.87	-445275	-1	0
1	4153.27	-500145	-2	0
1	4153.27	-512860	-4	0
1	4153.27	-541751	-6	0
1	4153.27	-515671	-8	0
1	4153.27	-489494	-8	0
1	4153.27	-465886	-9	0
1	4153.27	-436738	-9	0
1	4153.27	-407103	-9	0
1	4153.27	-336630	-8	0
1	4162.49	-305921	-8	0
1	4227.74	-323312	-4	0
1	23723	-656423	1	0
1	34660.8	-650663	5	0
1	37773.3	-630807	9	0
1	39461.8	-612341	12	0
1	38539.9	-501171	16	0
1	38518.7	-468691	18	0
1	42076.9	-527031	21	0
1	48645.4	-484114	23	0
1	52583.9	-495812	22	0
1	48319.8	-457987	21	0
1	33510	-409461	20	0
1	22461.8	-348347	21	0
1	8248.34	-414333	22	0
1	4153.27	-470372	23	0
1	4153.27	-504878	23	0
1	4164.94	-527131	24	0
1	4177.01	-520131	24	0
1	4160.05	-545582	25	0
1	4153.27	-552779	25	0
1	4153.27	-564577	26	0
1	4153.27	-571436	26	0
1	4153.27	-556102	26	0
1	4153.27	-559291	26	0
1	4153.27	-550266	27	0
1	10648.2	-529443	27	0
1	11373	-457444	28	0
1	10412.3	-437058	27	0
1	10006.9	-418142	27	0
1	9710.1	-409957	26	0
1	9479.06	-395591	26	0
1	7576.64	-228674	26	0
1	7050.86	-256746	26	0
1	7068.63	-268802	26	0
1	7009.6	-406189	25	0
1	6911.2	-392061	25	0
1	6812.83	-375987	25	0
1	4825.16	-337375	25	0
1	4153.27	-324160	25	0
1	4153.27	-414967	22	0
1	4153.27	-488419	18	0
1	4153.27	-584777	15	0
1	4153.27	-608630	13	0
1	4153.27	-658135	11	0
1	4153.27	-682400	9	0
1	4153.27	-681046	7	0
1	4153.27	-705800	5	0
1	4153.27	-699269	3	0
1	4153.27	-684810	2	0
1	8415.96	-635060	1	0
1	8956.96	-556185	0	0
1	8391.42	-518129	1	0
1	8157.54	-504051	2	0
1	7967.85	-493132	3	0
1	7814.7	-491326	3	0
1	6918.71	-319866	4	0
1	6650.58	-360528	4	0
1	6613.39	-382397	1	0
1	6534.41	-786593	-1	0
1	6426.66	-803185	-4	0
1	6316.42	-835328	-6	0
1	4697.7	-824428	-9	0
1	4153.27	-858794	-11	0
1	4153.27	-805085	-12	0
1	4153.27	-747162	-13	0
1	4153.27	-684830	-14	0
1	4153.27	-723752	-15	0
1	4153.27	-769618	-15	0
1	4153.27	-823247	-16	0
1	4153.27	-829410	-16	0
1	4153.27	-882799	-17	0
1	4153.27	-536972	-17	0
1	4153.27	-510154	-16	0
1	17192.8	-841893	-16	0
