1=Loop running this hour, 0=Off	Net hourly loop load, including thermal losses and pump heat	Net hourly loop load, including thermal losses and pump heat	Outside dry-bulb temp (F)	Rain flag (1 - rainfall)
1	5196.16	-945441	35	0
1	5196.16	-937030	34	0
1	5201.62	-905845	34	0
1	5196.58	-993421	33	0
1	5196.16	-1.08E+06	33	0
1	5196.16	-1.18E+06	32	0
1	5205	-1.14E+06	32	0
1	5199.05	-1.72E+06	31	0
1	5210.06	-1.59E+06	31	0
1	5197.21	-1.55E+06	30	0
1	5196.16	-1.57E+06	29	0
1	5196.16	-1.57E+06	28	0
1	5199.2	-1.55E+06	29	0
1	5203.32	-955942	29	0
1	5201.32	-1.02E+06	30	0
1	5204.1	-1.00E+06	30	0
1	5201.24	-992869	31	0
1	5203.37	-959317	31	0
1	5201.35	-942149	32	0
1	5200.55	-727918	33	0
1	5200.43	-773903	34	0
1	5196.47	-860852	33	0
1	5196.16	-892399	33	0
1	5196.16	-916163	32	0
1	5199.11	-926465	33	0
1	5197.49	-929168	33	0
1	5196.24	-949699	34	0
1	5200.1	-937879	35	0
1	5196.47	-969033	35	0
1	5199.98	-955905	36	0
1	5212.26	-895792	36	0
1	5246.57	-1.47E+06	37	0
1	5224.43	-1.20E+06	37	0
1	5198.02	-1.19E+06	37	0
1	5196.16	-1.25E+06	37	0
1	5196.16	-1.31E+06	37	0
1	5196.16	-1.35E+06	35	0
1	5196.16	-1.40E+06	34	0
1	5196.16	-1.44E+06	32	0
1	5202.68	-1.39E+06	31	0
1	5200.65	-1.35E+06	31	0
1	5196.47	-1.36E+06	30	0
1	5196.16	-1.12E+06	31	0
1	5196.16	-538940	31	0
1	5196.16	-854826	32	0
1	5196.16	-901150	31	0
1	5196.16	-927713	29	0
1	5196.16	-964466	28	0
1	5197.2	-960179	27	0
1	5203	-919094	25	0
1	5200.89	-896754	24	0
1	5196.47	-977492	22	0
1	5196.16	-1.03E+06	20	0
1	5196.16	-1.13E+06	18	0
1	5198.51	-1.14E+06	17	0
1	5213.09	-1.77E+06	15	0
1	5205.62	-1.66E+06	14	0
1	5212.12	-1.59E+06	14	0
1	5197.31	-1.56E+06	13	0
1	5205.5	-1.49E+06	13	0
1	5196.89	-1.52E+06	13	0
1	5196.16	-1.59E+06	14	0
1	5196.16	-1.64E+06	14	0
1	5196.16	-1.68E+06	13	0
1	5196.16	-1.74E+06	12	0
1	5196.16	-1.81E+06	11	0
1	5196.16	-1.55E+06	10	0
1	5196.16	-1.27E+06	10	0
1	5196.16	-1.38E+06	9	0
1	5196.16	-1.44E+06	7	0
1	5196.16	-1.44E+06	6	0
1	5196.16	-1.47E+06	4	0
1	5196.16	-1.49E+06	4	0
1	5196.16	-1.55E+06	3	0
1	5196.16	-1.56E+06	3	0
1	5196.16	-1.55E+06	2	0
1	5196.16	-1.52E+06	2	0
1	5196.16	-1.50E+06	1	0
1	5196.16	-1.53E+06	1	0
1	5196.16	-1.91E+06	0	0
1	5196.16	-1.89E+06	0	0
1	5219.74	-1.86E+06	2	0
1	5226.85	-1.77E+06	5	0
1	5219.51	-1.69E+06	7	0
1	5205.53	-1.64E+06	8	0
1	5207.03	-1.58E+06	9	0
1	5203.51	-1.52E+06	10	0
1	5203.34	-1.47E+06	7	0
1	5203	-1.45E+06	5	0
1	5196.66	-1.50E+06	2	0
1	5196.16	-1.27E+06	1	0
1	5196.16	-928350	-1	0
1	5196.16	-1.15E+06	-2	0
1	5203.21	-1.15E+06	-4	0
1	5196.71	-1.20E+06	-6	0
1	5206.44	-1.16E+06	-8	0
1	5213.91	-1.09E+06	-8	0
1	5214.53	-1.02E+06	-9	0
1	5216.59	-941317	-9	0
1	5217.35	-753569	-9	0
1	5239.05	-623402	-8	0
1	5224.34	-536513	-8	0
1	5198.05	-753692	-4	0
1	5196.16	-1.77E+06	1	0
1	5196.16	-1.74E+06	5	0
1	5196.16	-1.77E+06	9	0
1	5196.16	-1.80E+06	12	0
1	5196.16	-1.80E+06	16	0
1	5224.34	-1.71E+06	18	0
1	5228.53	-1.59E+06	21	0
1	5232.84	-1.41E+06	23	0
1	5201.4	-1.38E+06	22	0
1	5196.37	-1.40E+06	21	0
1	5196.16	-1.49E+06	20	0
1	5196.16	-1.30E+06	21	0
1	5196.16	-798990	22	0
1	5196.16	-1.09E+06	23	0
1	5196.16	-1.13E+06	23	0
1	5196.16	-1.18E+06	24	0
1	5196.16	-1.20E+06	24	0
1	5196.16	-1.25E+06	25	0
1	5196.16	-1.26E+06	25	0
1	5196.16	-1.30E+06	26	0
1	5196.16	-1.31E+06	26	0
1	5201.91	-1.28E+06	26	0
1	5196.58	-1.28E+06	26	0
1	5199.66	-1.27E+06	27	0
1	5203.01	-1.79E+06	27	0
1	5201.03	-1.71E+06	28	0
1	5199.99	-1.67E+06	27	0
1	5196.42	-1.64E+06	27	0
1	5199.14	-1.61E+06	26	0
1	5203.67	-1.56E+06	26	0
1	5196.73	-996567	26	0
1	5203.38	-1.04E+06	26	0
1	5204.77	-1.01E+06	26	0
1	5210.13	-936974	25	0
1	5206.64	-887222	25	0
1	5206.06	-782907	25	0
1	5198.32	-589646	25	0
1	5204.47	-678429	25	0
1	5196.79	-831469	22	0
1	5196.16	-1.07E+06	18	0
1	5196.16	-1.29E+06	15	0
1	5196.16	-1.35E+06	13	0
1	5196.16	-1.44E+06	11	0
1	5196.16	-1.48E+06	9	0
1	5196.16	-1.48E+06	7	0
1	5196.16	-1.51E+06	5	0
1	5196.16	-1.50E+06	3	0
1	5196.16	-1.49E+06	2	0
1	5196.16	-1.91E+06	1	0
1	5196.16	-1.87E+06	0	0
1	5196.16	-1.86E+06	1	0
1	5196.16	-1.86E+06	2	0
1	5196.16	-1.85E+06	3	0
1	5196.16	-1.86E+06	3	0
1	5196.16	-1.54E+06	4	0
1	5196.16	-1.57E+06	4	0
1	5196.16	-1.57E+06	1	0
1	5196.16	-1.61E+06	-1	0
1	5196.16	-1.62E+06	-4	0
1	5196.16	-1.63E+06	-6	0
1	5196.16	-1.60E+06	-9	0
1	5196.16	-1.63E+06	-11	0
1	5196.16	-1.60E+06	-12	0
1	5196.16	-1.55E+06	-13	0
1	5196.16	-1.50E+06	-14	0
1	5196.16	-1.53E+06	-15	0
1	5196.16	-1.56E+06	-15	0
1	5196.16	-1.60E+06	-16	0
1	5196.16	-1.60E+06	-16	0
1	5196.16	-1.63E+06	-17	0
1	5196.16	-1.63E+06	-17	0
1	5196.16	-1.65E+06	-16	0
1	5196.16	-2.03E+06	-16	0
1	5196.16	-1.99E+06	-15	0
1	5390.28	-1.76E+06	-13	0
1	5210.94	-1.75E+06	-11	0
1	5207.71	-1.71E+06	-9	0
1	5240.05	-1.60E+06	-8	0
1	5200.64	-1.58E+06	-6	0
1	5196.24	-1.63E+06	-5	0
1	5196.16	-1.93E+06	-5	0
1	5196.16	-1.97E+06	-5	0
1	5196.16	-1.89E+06	-5	0
1	5196.16	-1.55E+06	-5	0
1	5196.16	-1.31E+06	-5	0
1	5196.16	-1.43E+06	-5	0
1	5196.16	-1.46E+06	-6	0
1	5196.16	-1.48E+06	-6	0
1	5196.16	-1.49E+06	-7	0
1	5196.16	-1.55E+06	-7	0
1	5196.16	-1.58E+06	-7	0
1	5196.16	-1.64E+06	-7	0
1	5196.16	-1.62E+06	-6	0
1	5196.16	-1.59E+06	-5	0
1	5196.16	-1.57E+06	-4	0
1	5196.16	-1.61E+06	-4	0
1	5196.16	-1.95E+06	-3	0
1	5196.16	-1.88E+06	-3	0
1	5338.25	-1.60E+06	-2	0
1	5206.98	-1.60E+06	0	0
1	5196.16	-1.62E+06	1	0
1	5250	-1.48E+06	2	0
1	5224.75	-1.41E+06	4	0
1	5198.02	-1.40E+06	5	0
1	5196.16	-1.62E+06	4	0
1	5209.65	-1.62E+06	2	0
1	5221.15	-1.57E+06	1	0
1	5197.99	-1.23E+06	0	0
1	5230.19	-977915	-2	0
1	5198.75	-1.00E+06	-3	0
1	5199.05	-1.00E+06	-3	0
1	5196.39	-1.08E+06	-3	0
1	5198.35	-1.08E+06	-3	0
1	5196.34	-1.09E+06	-5	0
1	5196.16	-1.15E+06	-6	0
1	5196.16	-1.18E+06	-8	0
1	5196.16	-1.18E+06	-8	0
1	5196.16	-1.26E+06	-9	0
1	5196.16	-1.25E+06	-9	0
1	5227.91	-1.08E+06	-9	0
1	5277.97	-1.58E+06	-8	0
1	5283.61	-1.04E+06	-8	0
1	5209.33	-989208	-3	0
1	5196.71	-924177	1	0
1	5196.16	-933414	6	0
1	5201.43	-890784	7	0
1	5196.58	-885363	9	0
1	5196.16	-928616	10	0
1	5196.16	-1.24E+06	11	0
1	5196.16	-1.42E+06	11	0
1	5196.16	-1.43E+06	12	0
1	5196.16	-1.15E+06	14	0
1	5228.73	-605884	16	0
1	5198.65	-763339	18	0
1	5201.06	-782426	19	0
1	5199.85	-813230	21	0
1	5202.33	-806815	22	0
1	5196.6	-841091	23	0
1	5196.16	-907618	25	0
1	5196.16	-949605	26	0
1	5205.97	-900756	25	0
1	5204.89	-862928	25	0
1	5211.92	-794040	24	0
1	5197.31	-806313	24	0
1	5225.62	-1.21E+06	23	0
1	5214.02	-1.16E+06	23	0
1	5260.62	-835692	23	0
1	5202.45	-818989	22	0
1	5196.29	-831121	22	0
1	5222.37	-727942	23	0
1	5210.73	-673663	23	0
1	5197.13	-668670	24	0
1	5196.16	-905555	23	0
1	5196.16	-1.08E+06	21	0
1	5196.16	-1.10E+06	20	0
1	5196.16	-872769	18	0
1	5213.9	-358664	16	0
1	5197.52	-558286	14	0
1	5203.12	-574242	11	0
1	5200.52	-594868	9	0
1	5207.24	-581859	6	0
1	5196.97	-679716	4	0
1	5196.16	-786180	2	0
1	5196.16	-876006	0	0
1	5211.42	-819980	3	0
1	5204.43	-795055	7	0
1	5215.34	-673263	10	0
1	5197.57	-835887	13	0
1	5215.45	-1.29E+06	15	0
1	5197.63	-1.34E+06	18	0
1	5272.39	-913626	21	0
1	5201.98	-955197	24	0
1	5196.16	-968666	27	0
1	5232.08	-811802	29	0
1	5211.75	-749286	30	0
1	5198.34	-741366	32	0
1	5196.24	-1.07E+06	31	0
1	5196.16	-1.11E+06	30	0
1	5199.08	-1.06E+06	29	0
1	5196.39	-797289	29	0
1	5201.48	-285205	30	0
1	5196.58	-604210	30	0
1	5197.11	-570053	28	0
1	5206.94	-547980	27	0
1	5203.16	-562052	25	0
1	5196.63	-595355	24	0
1	5196.16	-609951	24	0
1	5196.16	-692548	23	0
1	5196.16	-713412	22	0
1	5201.21	-634540	21	0
1	5196.52	-716972	20	0
1	5196.16	-763723	20	0
1	5196.16	-1.55E+06	20	0
1	5196.16	-1.42E+06	20	0
1	5196.16	-1.43E+06	21	0
1	5196.16	-1.47E+06	23	0
1	5196.16	-1.50E+06	24	0
1	5214.48	-1.39E+06	25	0
1	5207.76	-684620	25	0
1	5217.12	-705557	26	0
1	5197.68	-762876	24	0
1	5196.16	-922711	22	0
1	5196.16	-1.02E+06	20	0
1	5196.16	-1.06E+06	19	0
1	5196.16	-884808	18	0
1	5196.16	-1.04E+06	17	0
1	5204.6	-1.01E+06	17	0
1	5196.81	-1.03E+06	16	0
1	5205.56	-989577	16	0
1	5196.89	-1.02E+06	14	0
1	5201.8	-993912	12	0
1	5196.58	-1.02E+06	10	0
1	5196.16	-1.04E+06	9	0
1	5196.16	-1.12E+06	9	0
1	5196.16	-1.15E+06	8	0
1	5196.16	-1.28E+06	8	0
1	5196.16	-1.84E+06	8	0
1	5196.16	-1.84E+06	8	0
1	5196.16	-1.83E+06	9	0
1	5196.16	-1.83E+06	11	0
1	5196.16	-1.83E+06	12	0
1	5196.16	-1.78E+06	13	0
1	5196.16	-1.24E+06	14	0
1	5212.88	-1.20E+06	15	0
1	5205	-1.17E+06	13	0
1	5196.73	-1.19E+06	12	0
1	5202.3	-1.18E+06	10	0
1	5204.3	-1.16E+06	8	0
1	5208.35	-908758	7	0
1	5208.26	-921197	5	0
1	5197	-1.00E+06	4	0
1	5196.16	-1.09E+06	2	0
1	5196.16	-1.11E+06	1	0
1	5196.16	-1.15E+06	-2	0
1	5203.79	-1.12E+06	-6	0
1	5196.73	-1.15E+06	-9	0
1	5231.21	-936514	-8	0
1	5238.32	-789058	-6	0
1	5242.21	-566086	-5	0
1	5199.46	-675058	-2	0
1	5196.16	-1.59E+06	0	0
1	5196.16	-1.49E+06	3	0
1	5196.16	-1.56E+06	6	0
1	5196.16	-1.56E+06	10	0
1	5196.16	-1.62E+06	13	0
1	5198.02	-1.60E+06	18	0
1	5199.9	-1.04E+06	22	0
1	5205.45	-1.10E+06	27	0
1	5198.55	-1.11E+06	27	0
1	5206.67	-1.06E+06	28	0
1	5198.33	-1.06E+06	28	0
1	5196.26	-1.06E+06	28	0
1	5196.16	-854101	28	0
1	5196.16	-977194	28	0
1	5196.16	-999623	27	0
1	5196.16	-1.05E+06	27	0
1	5196.16	-1.08E+06	26	0
1	5196.16	-1.14E+06	24	0
1	5196.16	-1.17E+06	23	0
1	5196.16	-1.26E+06	21	0
1	5206.8	-1.20E+06	17	0
1	5206.68	-1.15E+06	13	0
1	5222.84	-1.02E+06	9	0
1	5198.12	-1.18E+06	9	0
1	5196.16	-1.83E+06	9	0
1	5196.16	-1.76E+06	9	0
1	5328.27	-1.30E+06	12	0
1	5207.39	-1.23E+06	14	0
1	5196.24	-1.21E+06	17	0
1	5243.94	-991824	17	0
1	5228.16	-864087	17	0
1	5198.31	-855839	17	0
1	5196.16	-1.20E+06	14	0
1	5198.13	-1.24E+06	10	0
1	5206.66	-1.18E+06	7	0
1	5196.94	-897237	5	0
1	5197.51	-484560	4	0
1	5196.26	-642194	2	0
1	5196.16	-893616	0	0
1	5200.63	-909965	-2	0
1	5196.5	-997352	-4	0
