,p_chlr_baseline
0,15.3993
1,6.88616
2,6.88616
3,6.88616
4,6.88616
5,6.88616
6,6.88616
7,6.88616
8,6.88616
9,6.88616
10,6.88616
11,6.88616
12,6.88616
13,6.88616
14,6.88616
15,6.88616
16,6.88616
17,6.88616
18,6.88616
19,6.88616
20,6.88616
21,6.88616
22,6.88616
23,6.88616
24,6.88616
25,6.88616
26,6.88616
27,6.88616
28,6.88616
29,6.88616
30,6.88694
31,6.88643
32,6.91274
33,6.90184
34,6.91305
35,6.92555
36,6.96393
37,7.03539
38,7.16393
39,7.35444
40,7.31295
41,7.08225
42,6.93329
43,6.89111
44,6.88616
45,6.88616
46,6.88616
47,6.88616
48,6.88616
49,6.88616
50,6.88616
51,6.88616
52,6.88616
53,6.89044
54,6.88763
55,7.03441
56,7.31313
57,7.61739
58,7.82868
59,7.86125
60,7.908
61,8.08842
62,8.40261
63,8.60313
64,8.45043
65,7.81308
66,7.28119
67,6.95759
68,6.88616
69,6.88616
70,6.88616
71,6.88616
72,6.88616
73,6.88616
74,6.88616
75,6.88616
76,6.88616
77,6.88616
78,6.88703
79,7.61014
80,8.27412
81,8.57602
82,8.73647
83,8.7139
84,8.72466
85,8.9048
86,9.20454
87,9.41197
88,9.20479
89,8.46229
90,7.83563
91,7.09332
92,6.88616
93,6.88616
94,6.88616
95,6.88616
96,6.88616
97,6.88616
98,6.88616
99,6.88616
100,6.88616
101,6.88678
102,6.8912
103,8.20918
104,8.94903
105,9.15952
106,9.27368
107,9.21142
108,9.20995
109,9.45045
110,9.89445
111,10.1608
112,9.87268
113,8.87159
114,8.12441
115,7.16333
116,6.88616
117,6.88616
118,6.88695
119,6.88777
120,6.88662
121,6.88616
122,6.88616
123,6.88616
124,6.88616
125,6.88616
126,6.88616
127,7.32527
128,7.37444
129,7.30945
130,7.28203
131,7.26196
132,7.24633
133,7.11771
134,7.08212
135,7.08332
136,7.07933
137,7.07267
138,7.06602
139,6.93163
140,6.88616
141,6.88616
142,6.88616
143,6.88616
144,6.88616
145,6.88616
146,6.88616
147,6.88616
148,6.88616
149,6.88616
150,6.88616
151,7.17435
152,7.21103
153,7.17277
154,7.15696
155,7.14413
156,7.13377
157,7.0732
158,7.05505
159,7.05254
160,7.04719
161,7.03991
162,7.03245
163,6.92301
164,6.88616
165,6.88616
166,6.88616
167,6.88616
168,6.88616
169,6.88616
170,6.88616
171,6.88616
172,6.88616
173,6.88616
174,6.88616
175,7.76772
176,9.9374
177,11.3236
178,11.9832
179,12.0079
180,12.0945
181,12.7528
182,13.6302
183,13.3799
184,12.0641
185,10.2418
186,8.93146
187,8.3876
188,8.19467
189,7.61468
190,7.2709
191,7.13291
192,7.08401
193,7.06653
194,7.05562
195,7.04722
196,7.03985
197,7.03337
198,7.11261
199,9.03502
200,12.2877
201,14.544
202,15.6565
203,15.6226
204,15.7525
205,16.5215
206,17.3932
207,16.9949
208,14.9876
209,12.1574
210,10.3344
211,9.4532
212,9.16679
213,8.20799
214,7.51721
215,7.29921
216,7.24318
217,7.21866
218,7.20117
219,7.18646
220,7.17321
221,7.16532
222,7.23617
223,10.1329
224,15.045
225,17.3776
226,18.2562
227,18.0679
228,18.0749
229,18.7868
230,19.6021
231,19.1098
232,16.9863
233,13.8762
234,11.5827
235,10.4014
236,9.92424
237,8.7292
238,7.8706
239,7.45079
240,7.30046
241,7.26211
242,7.24286
243,7.22644
244,7.2116
245,7.20612
246,7.30745
247,10.8848
248,16.8084
249,19.3302
250,20.086
251,19.7991
252,19.7414
253,20.4012
254,21.3158
255,20.5873
256,18.5193
257,15.2542
258,12.766
259,11.3476
260,10.7673
261,9.11276
262,8.09343
263,7.66174
264,7.49526
265,7.42244
266,7.3691
267,7.32456
268,7.28409
269,7.24682
270,7.46994
271,11.6392
272,17.662
273,20.1186
274,20.8461
275,20.4503
276,20.3967
277,21.1594
278,22.0437
279,21.0527
280,19.1451
281,15.8425
282,13.2876
283,11.742
284,11.1319
285,9.35478
286,8.21391
287,7.75314
288,7.56509
289,7.465
290,7.39611
291,7.34207
292,7.29453
293,7.25097
294,7.21286
295,8.48841
296,8.65729
297,8.45121
298,8.3376
299,8.24569
300,8.16823
301,7.94726
302,7.85272
303,7.80168
304,7.74638
305,7.68913
306,7.63392
307,7.07342
308,6.88616
309,6.88616
310,6.88616
311,6.88616
312,6.88616
313,6.88616
314,6.88616
315,6.88616
316,6.88616
317,6.88616
318,6.88616
319,7.51488
320,7.58641
321,7.48948
322,7.43983
323,7.39553
324,7.35821
325,7.24517
326,7.19935
327,7.18079
328,7.16731
329,7.15471
330,7.1423
331,6.95072
332,6.88616
333,6.88616
334,6.88616
335,6.88616
336,6.88616
337,6.88616
338,6.88616
339,6.88616
340,6.88616
341,6.88616
342,6.88616
343,7.19332
344,7.2334
345,7.19108
346,7.17235
347,7.15712
348,7.14485
349,7.10422
350,7.08937
351,7.08314
352,7.07502
353,7.06537
354,7.05635
355,6.92902
356,6.88616
357,6.88616
358,6.88616
359,6.88616
360,6.88616
361,6.88616
362,6.88616
363,6.88616
364,6.88616
365,6.88616
366,6.88616
367,8.00254
368,11.0825
369,13.0182
370,13.986
371,14.0398
372,14.2731
373,15.1081
374,16.0338
375,15.7282
376,13.8186
377,11.3632
378,9.79585
379,9.2305
380,9.02033
381,8.0566
382,7.35533
383,7.13854
384,7.08922
385,7.07129
386,7.06013
387,7.05173
388,7.04458
389,7.04315
390,7.11881
391,9.71185
392,14.2524
393,16.5545
394,17.5049
395,17.3945
396,17.4722
397,18.2399
398,19.1092
399,18.678
400,16.584
401,13.4764
402,11.0793
403,10.1436
404,9.74632
405,8.65574
406,7.84312
407,7.42633
408,7.27015
409,7.22306
410,7.20273
411,7.18807
412,7.17494
413,7.16268
414,7.2591
415,10.6562
416,16.079
417,18.5014
418,19.3029
419,19.0539
420,19.0253
421,19.7062
422,20.5232
423,20.0354
424,17.8761
425,14.6356
426,12.1859
427,10.8578
428,10.331
429,8.9865
430,8.07309
431,7.64491
432,7.48018
433,7.40784
434,7.35558
435,7.31151
436,7.27177
437,7.24304
438,7.44683
439,11.2779
440,17.2532
441,19.7586
442,20.5024
443,20.1871
444,20.1202
445,20.8208
446,21.7662
447,20.8294
448,18.8843
449,15.6088
450,13.0847
451,11.6016
452,11.0144
453,9.2638
454,8.18914
455,7.74685
456,7.56189
457,7.4614
458,7.3915
459,7.3377
460,7.29077
461,7.24779
462,7.20986
463,8.47813
464,8.64879
465,8.44368
466,8.33071
467,8.23958
468,8.16246
469,7.94514
470,7.85131
471,7.79967
472,7.74403
473,7.68633
474,7.63005
475,7.07236
476,6.88616
477,6.88616
478,6.88616
479,6.88616
480,6.88616
481,6.88616
482,6.88616
483,6.88616
484,6.88616
485,6.88616
486,6.88616
487,7.50348
488,7.57454
489,7.48012
490,7.43145
491,7.38771
492,7.35087
493,7.24168
494,7.19672
495,7.17851
496,7.16516
497,7.15246
498,7.14
499,6.95014
500,6.88616
501,6.88616
502,6.88616
503,6.88616
504,6.88616
505,6.88616
506,6.88616
507,6.88616
508,6.88616
509,6.89053
510,6.88766
511,8.54236
512,12.4552
513,14.5714
514,15.592
515,15.6064
516,15.7797
517,16.6183
518,17.573
519,17.2037
520,15.1848
521,12.2727
522,10.2843
523,9.49294
524,9.24308
525,8.27959
526,7.50467
527,7.20018
528,7.12849
529,7.10937
530,7.09702
531,7.08745
532,7.07916
533,7.07303
534,7.14989
535,10.148
536,15.4128
537,17.9134
538,18.8085
539,18.6089
540,18.6191
541,19.3314
542,20.1432
543,19.6713
544,17.5605
545,14.3904
546,12.0
547,10.8307
548,10.3287
549,8.88384
550,7.95056
551,7.53107
552,7.37284
553,7.30593
554,7.25846
555,7.21921
556,7.19061
557,7.17506
558,7.36408
559,11.2898
560,17.31
561,19.799
562,20.5781
563,20.2883
564,20.2553
565,21.036
566,22.0585
567,20.9516
568,18.9415
569,15.6422
570,13.1075
571,11.6435
572,11.0624
573,9.28316
574,8.16354
575,7.71149
576,7.54386
577,7.46999
578,7.41629
579,7.37068
580,7.32938
581,7.29275
582,7.51635
583,12.0382
584,18.2739
585,20.9556
586,21.892
587,21.1643
588,21.353
589,22.3132
590,23.0679
591,21.8023
592,19.6939
593,16.3116
594,13.6655
595,12.0398
596,11.4098
597,9.56895
598,8.28248
599,7.77843
600,7.6086
601,7.53225
602,7.47615
603,7.42861
604,7.38549
605,7.35949
606,7.57043
607,12.3742
608,18.7523
609,21.2691
610,22.1289
611,21.3611
612,21.5027
613,22.4037
614,23.209
615,21.9441
616,19.7903
617,16.4326
618,13.7472
619,12.0498
620,11.3624
621,9.51219
622,8.27856
623,7.79178
624,7.60399
625,7.50349
626,7.43355
627,7.37807
628,7.32908
629,7.28426
630,7.24452
631,8.51412
632,8.68367
633,8.47816
634,8.36472
635,8.27321
636,8.19593
637,7.97484
638,7.8796
639,7.82756
640,7.77163
641,7.71351
642,7.65736
643,7.07935
644,6.88616
645,6.88616
646,6.88616
647,6.8869
648,6.88642
649,6.88616
650,6.88616
651,6.88616
652,6.88616
653,6.88616
654,6.88616
655,7.52974
656,7.60517
657,7.50781
658,7.45744
659,7.41248
660,7.37454
661,7.26191
662,7.21588
663,7.18745
664,7.16765
665,7.15396
666,7.14179
667,6.95061
668,6.88616
669,6.88616
670,6.88616
671,6.88616
672,6.88616
673,6.88616
