time	clg	htg
hr 	btu	btu
1	4157.3	-722900
2	4157.3	-722417
3	4157.3	-706171
4	4157.3	-752683
5	4157.3	-785299
6	4157.3	-834126
7	4157.3	-802669
8	4157.3	-826384
9	4157.3	-752970
10	4157.3	-730456
11	4157.3	-717250
12	4157.3	-708595
13	4157.3	-690968
14	4157.3	-527215
15	4157.3	-543351
16	4157.3	-559815
17	4157.3	-730611
18	4157.3	-728695
19	4157.3	-721206
20	4157.3	-671800
21	4157.3	-669969
22	4157.3	-686248
23	4157.3	-700886
24	4157.3	-715150
25	4157.3	-708509
26	4157.3	-710206
27	4157.3	-715806
28	4157.3	-708513
29	4157.3	-725077
30	4157.3	-542795
31	4157.3	-525213
32	4273.02	-652577
33	4471.69	-570710
34	4252.81	-543225
35	4171.85	-532968
36	4162.09	-528499
37	4157.3	-544094
38	4157.3	-542132
39	4249.53	-548337
40	4399.21	-544358
41	4487.45	-543039
42	4245.66	-583803
43	4157.3	-605121
44	4157.3	-643150
45	4157.3	-667856
46	4157.3	-710638
47	4157.3	-726228
48	4157.3	-727278
49	4157.3	-723906
50	4157.3	-709934
51	4157.3	-701232
52	4157.3	-744139
53	4157.3	-765987
54	4157.3	-585965
55	4162.49	-578063
56	4159.06	-727476
57	4550.44	-666456
58	5168.76	-627833
59	5991.81	-615693
60	6258.71	-602046
61	6445.17	-605816
62	7088.89	-606115
63	7623.22	-612013
64	8003.77	-623540
65	8295.56	-647268
66	6830.05	-699447
67	5264.43	-732839
68	4348.8	-887158
69	4157.3	-912208
70	4157.3	-971692
71	4157.3	-966147
72	4157.3	-980566
73	4157.3	-995041
74	4157.3	-1048560
75	4157.3	-1058250
76	4157.3	-1054430
77	4157.3	-1032360
78	4157.3	-746343
79	4157.3	-743131
80	5987.54	-881916
81	8156.51	-795994
82	9872.48	-722910
83	11747.1	-660005
84	11829.1	-634172
85	12009.8	-620957
86	14146.4	-596685
87	15743.8	-582571
88	16746.3	-592357
89	16669.4	-625134
90	10902.8	-700128
91	7467.82	-748686
92	4870.61	-822698
93	4157.3	-878861
94	4157.3	-904657
95	4157.3	-945357
96	4157.3	-932473
97	4157.3	-907058
98	4157.3	-888561
99	4157.3	-859431
100	4157.3	-828830
101	4157.3	-750722
102	4157.3	-717755
103	4157.3	-720731
104	8591.92	-854265
105	14567.8	-768849
106	17669.1	-730530
107	19225.9	-705703
108	18617.3	-685411
109	18445.2	-649078
110	20461.4	-602855
111	21967.7	-564813
112	22867.3	-583714
113	22558.6	-611708
114	16165	-667160
115	10360.5	-698242
116	5417.93	-739001
117	4157.3	-788447
118	4157.3	-823126
119	4157.3	-843285
120	4157.3	-836849
121	4157.3	-860879
122	4157.3	-866794
123	4157.3	-877460
124	4157.3	-883936
125	4157.3	-868359
126	4157.3	-870867
127	4157.3	-861028
128	7126.13	-826210
129	7487.21	-764371
130	7111.7	-740331
131	6967.76	-718804
132	6836.2	-708861
133	6731.28	-693740
134	5911.08	-540184
135	5689.77	-557673
136	5684.97	-568800
137	5637.75	-708204
138	5564.07	-696898
139	5495	-680914
140	4494.11	-641494
141	4157.3	-627977
142	4157.3	-720392
143	4157.3	-796748
144	4157.3	-897296
145	4157.3	-925189
146	4157.3	-976815
147	4157.3	-1003520
148	4157.3	-1004940
149	4157.3	-1030520
150	4157.3	-1035930
151	4157.3	-1030220
152	5792.49	-971904
153	6171.77	-908330
154	6030.56	-861872
155	5965.58	-835100
156	5895.7	-807572
157	5841.69	-799480
158	5566.42	-645846
159	5477.82	-673012
160	5434.84	-717738
161	5370.19	-1132800
162	5285.56	-1173100
163	5199.69	-1218590
164	4417.57	-1226380
165	4157.3	-1274000
166	4157.3	-1229850
167	4157.3	-1179860
168	4157.3	-1123360
169	4157.3	-1168910
170	4157.3	-1215290
171	4157.3	-1273370
172	4157.3	-1278020
173	4157.3	-1334880
174	4157.3	-1001780
175	4157.3	-977282
176	12594.4	-1086010
177	27262.5	-945965
178	37684.5	-870385
179	46304.4	-840048
180	47039	-804111
181	0	-738690.8825
182	0	-707490.5785
183	0	-690341.1529
184	0	-697832.5751
185	43520.9	-797167
186	27560.6	-857032
187	19046.6	-867626
188	15624.7	-993353
189	14419.6	-972835
190	10434.2	-1035070
191	7354.31	-1093320
192	5718.85	-1101090
193	5154.82	-1178690
194	4976.46	-1222570
195	4871.47	-1292100
196	4793.78	-1254530
197	4726.88	-1217030
198	4669.49	-859785
199	5474.52	-841991
200	20559.8	-931461
201	0	-767438.1214
202	0	-703397.0924
203	0	-632214.4188
204	0	-616795.9541
205	0	-608133.9551
206	0	-556267.8707
207	0	-540029.0514
208	0	-546283.5125
209	0	-592566.5539
210	46121.5	-724943
211	29375.3	-751961
212	23858.3	-713723
213	21384	-729430
214	13881.5	-760575
215	9689.52	-819301
216	7957.43	-825625
217	7297.29	-853049
218	7024.47	-909743
219	6830.93	-938448
220	6668.31	-945608
221	6522.09	-962010
222	6387.37	-807837
223	7117.69	-775201
224	28826	-844196
225	0	-627192.0336
226	0	-573215.3823
227	0	-501449.3396
228	0	-483230.5782
229	0	-479546.1531
230	0	-464453.6195
231	0	-457697.6732
232	0	-474455.1745
233	0	-525745.8727
234	0	-616506.3526
235	39540.4	-690424
236	32426.4	-668230
237	29318	-668257
238	17230.9	-691699
239	10640.6	-716508
240	8599.92	-709032
241	7917.82	-727857
242	7623.68	-754536
243	7406.44	-771362
244	7221.2	-747559
245	7053.92	-726171
246	7153.99	-575673
247	7811.51	-557173
248	36917.5	-659030
249	0	-460148.3408
250	0	-394876.1189
251	0	-356710.1577
252	0	-351820.873
253	0	-320626.4828
254	0	-295979.3502
255	0	-274395.8632
256	0	-310279.5725
257	0	-380597.0229
258	0	-477588.3681
259	47375.6	-586743
260	39696.9	-570292
261	34884.8	-597168
262	21531.5	-619640
263	12053	-647396
264	8872.97	-639709
265	8115.2	-691818
266	7815.59	-723244
267	7607.72	-786718
268	7430.53	-734789
269	7266.2	-709466
270	7173.12	-573245
271	7949.69	-565170
272	41393.3	-665407
273	0	-457865.5288
274	0	-385780.3047
