time	clg	htg
hr 	btu	btu
1	4157	-722900
2	4157	-722417
3	4157	-706171
4	4157	-752683
5	4157	-785299
6	4157	-834126
7	4157	-802669
8	4157	-826384
9	4157	-752970
10	4157	-730456
11	4157	-717250
12	4157	-708595
13	4157	-690968
14	4157	-527215
15	4157	-543351
16	4157	-559815
17	4157	-730611
18	4157	-728695
19	4157	-721206
20	4157	-671800
21	4157	-669969
22	4157	-686248
23	4157	-700886
24	4157	-715150
25	4157	-708509
26	4157	-710206
27	4157	-715806
28	4157	-708513
29	4157	-725077
30	4157	-542795
31	4157	-525213
32	4273	-652577
33	4472	-570710
34	4253	-543225
35	4172	-532968
36	4162	-528499
37	4157	-544094
38	4157	-542132
39	4250	-548337
40	4399	-544358
41	4487	-543039
42	4246	-583803
43	4157	-605121
44	4157	-643150
45	4157	-667856
46	4157	-710638
47	4157	-726228
48	4157	-727278
49	4157	-723906
50	4157	-709934
51	4157	-701232
52	4157	-744139
53	4157	-765987
54	4157	-585965
55	4162	-578063
56	4159	-727476
57	4550	-666456
58	5169	-627833
59	5992	-615693
60	6259	-602046
61	6445	-605816
62	7089	-606115
63	7623	-612013
64	8004	-623540
65	8296	-647268
66	6830	-699447
67	5264	-732839
68	4349	-887158
69	4157	-912208
70	4157	-971692
71	4157	-966147
72	4157	-980566
73	4157	-995041
74	4157	-1048560
75	4157	-1058250
76	4157	-1054430
77	4157	-1032360
78	4157	-746343
79	4157	-743131
80	5988	-881916
81	8157	-795994
82	9872	-722910
83	11747	-660005
84	11829	-634172
85	12010	-620957
86	14146	-596685
87	15744	-582571
88	16746	-592357
89	16669	-625134
90	10903	-700128
91	7468	-748686
92	4871	-822698
93	4157	-878861
94	4157	-904657
95	4157	-945357
96	4157	-932473
97	4157	-907058
98	4157	-888561
99	4157	-859431
100	4157	-828830
101	4157	-750722
102	4157	-717755
103	4157	-720731
104	8592	-854265
105	14568	-768849
106	17669	-730530
107	19226	-705703
108	18617	-685411
109	18445	-649078
110	20461	-602855
111	21968	-564813
112	22867	-583714
113	22559	-611708
114	16165	-667160
115	10361	-698242
116	5418	-739001
117	4157	-788447
118	4157	-823126
119	4157	-843285
120	4157	-836849
121	4157	-860879
122	4157	-866794
123	4157	-877460
124	4157	-883936
125	4157	-868359
126	4157	-870867
127	4157	-861028
128	7126	-826210
129	7487	-764371
130	7112	-740331
131	6968	-718804
132	6836	-708861
133	6731	-693740
134	5911	-540184
135	5690	-557673
136	5685	-568800
137	5638	-708204
138	5564	-696898
139	5495	-680914
140	4494	-641494
141	4157	-627977
142	4157	-720392
143	4157	-796748
144	4157	-897296
145	4157	-925189
146	4157	-976815
147	4157	-1003520
148	4157	-1004940
149	4157	-1030520
150	4157	-1035930
151	4157	-1030220
152	5792	-971904
153	6172	-908330
154	6031	-861872
155	5966	-835100
156	5896	-807572
157	5842	-799480
158	5566	-645846
159	5478	-673012
160	5435	-717738
161	5370	-1132800
162	5286	-1173100
163	5200	-1218590
164	4418	-1226380
165	4157	-1274000
166	4157	-1229850
167	4157	-1179860
168	4157	-1123360
169	4157	-1168910
170	4157	-1215290
171	4157	-1273370
172	4157	-1278020
173	4157	-1334880
174	4157	-1001780
175	4157	-977282
176	12594	-1086010
177	27263	-945965
178	37685	-870385
179	46304	-840048
180	47039	-804111
181	6308	-733643
182	6043	-699999
183	5704	-680504
184	5909	-689300
185	43521	-797167
186	27561	-857032
187	19047	-867626
188	15625	-993353
189	14420	-972835
190	10434	-1035070
191	7354	-1093320
192	5719	-1101090
193	5155	-1178690
194	4976	-1222570
195	4871	-1292100
196	4794	-1254530
197	4727	-1217030
198	4669	-859785
199	5475	-841991
200	20560	-931461
